Net,li1,met1,met2,met3,
N0090,100.00%,100.00%,NA,NA,
N0091,100.00%,100.00%,NA,NA,
N0092,100.00%,100.00%,NA,NA,
N0093,100.00%,100.00%,NA,NA,
N0094,100.00%,100.00%,NA,NA,
N0095,100.00%,100.00%,NA,NA,
N0096,100.00%,100.00%,NA,NA,
N0097,100.00%,100.00%,NA,NA,
N0098,100.00%,100.00%,NA,NA,
N0099,100.00%,100.00%,NA,NA,
N0100,100.00%,100.00%,NA,NA,
N0101,100.00%,100.00%,NA,NA,
N0102,100.00%,100.00%,NA,NA,
N0103,100.00%,100.00%,NA,NA,
N0104,100.00%,100.00%,NA,NA,
N0105,100.00%,100.00%,NA,NA,
N0106,100.00%,99.69%,NA,NA,
N0107,100.00%,99.69%,NA,NA,
N0108,100.00%,100.00%,NA,NA,
N0109,100.00%,100.00%,NA,NA,
N0110,100.00%,100.00%,100.00%,NA,
N0111,100.00%,100.00%,NA,NA,
N0112,100.00%,100.00%,NA,NA,
N0113,100.00%,100.00%,NA,NA,
N0114,100.00%,100.00%,NA,NA,
N0115,100.00%,100.00%,NA,NA,
N0116,100.00%,100.00%,NA,NA,
N0117,100.00%,100.00%,NA,NA,
N0118,100.00%,100.00%,NA,NA,
N0119,100.00%,100.00%,NA,NA,
N0120,100.00%,100.00%,NA,NA,
N0121,100.00%,100.00%,NA,NA,
N0122,45.59%,97.20%,NA,NA,
N0123,100.00%,100.00%,NA,NA,
N0124,100.00%,100.00%,NA,NA,
N0125,100.00%,100.00%,NA,NA,
N0126,100.00%,100.00%,NA,NA,
N0127,100.00%,100.00%,NA,NA,
N0128,100.00%,100.00%,NA,NA,
N0129,100.00%,100.00%,NA,NA,
N0130,100.00%,100.00%,NA,NA,
N0131,100.00%,100.00%,NA,NA,
N0132,100.00%,100.00%,NA,NA,
N0133,100.00%,100.00%,NA,NA,
N0134,100.00%,100.00%,NA,NA,
N0135,100.00%,100.00%,NA,NA,
N0136,100.00%,100.00%,NA,NA,
N0137,100.00%,100.00%,NA,NA,
N0138,100.00%,99.69%,NA,NA,
N0139,100.00%,100.00%,NA,NA,
N0140,100.00%,100.00%,NA,NA,
N0141,100.00%,100.00%,NA,NA,
N0142,50.00%,100.00%,NA,NA,
N0143,100.00%,100.00%,NA,NA,
N0144,100.00%,100.00%,NA,NA,
N0145,100.00%,100.00%,NA,NA,
N0146,100.00%,100.00%,NA,NA,
N0147,100.00%,100.00%,NA,NA,
N0148,100.00%,100.00%,NA,NA,
N0149,100.00%,100.00%,NA,NA,
N0150,100.00%,100.00%,NA,NA,
N0151,100.00%,100.00%,100.00%,NA,
N0152,100.00%,100.00%,NA,NA,
N0153,100.00%,100.00%,0.00%,NA,
N0154,100.00%,100.00%,100.00%,100.00%,
N0155,100.00%,86.21%,0.00%,NA,
N0156,60.00%,100.00%,NA,NA,
N0157,100.00%,100.00%,0.00%,NA,
N0158,100.00%,100.00%,NA,NA,
N0159,100.00%,100.00%,0.00%,NA,
N0160,100.00%,100.00%,NA,NA,
N0161,100.00%,100.00%,NA,NA,
N0162,100.00%,99.89%,100.00%,NA,
N0163,100.00%,100.00%,NA,NA,
N0164,100.00%,100.00%,0.00%,NA,
N0165,100.00%,100.00%,NA,NA,
N0166,100.00%,100.00%,0.00%,NA,
N0167,100.00%,100.00%,NA,NA,
N0168,100.00%,100.00%,100.00%,NA,
N0169,100.00%,100.00%,0.00%,NA,
N0170,100.00%,100.00%,0.00%,NA,
N0171,100.00%,100.00%,NA,NA,
N0172,100.00%,100.00%,0.00%,NA,
N0173,100.00%,100.00%,0.00%,NA,
N0174,100.00%,100.00%,NA,NA,
N0175,100.00%,100.00%,NA,NA,
N0176,100.00%,100.00%,0.00%,NA,
N0177,100.00%,100.00%,NA,NA,
N0178,100.00%,100.00%,100.00%,NA,
N0179,100.00%,100.00%,NA,NA,
N0180,100.00%,100.00%,0.00%,NA,
N0181,100.00%,100.00%,NA,NA,
N0182,100.00%,100.00%,100.00%,100.00%,
N0183,50.00%,82.62%,100.00%,NA,
N0184,100.00%,100.00%,100.00%,NA,
N0185,100.00%,100.00%,100.00%,NA,
N0186,100.00%,100.00%,100.00%,NA,
N0187,100.00%,100.00%,100.00%,0.00%,
N0188,100.00%,100.00%,100.00%,NA,
N0189,100.00%,100.00%,100.00%,NA,
N0190,95.59%,96.25%,0.00%,NA,
N0191,100.00%,100.00%,100.00%,NA,
N0192,100.00%,100.00%,0.00%,NA,
N0193,100.00%,100.00%,0.00%,NA,
N0194,100.00%,100.00%,0.00%,NA,
N0195,100.00%,100.00%,0.00%,NA,
N0196,100.00%,100.00%,0.00%,NA,
N0197,100.00%,100.00%,0.00%,NA,
N0198,100.00%,100.00%,0.00%,NA,
N0199,100.00%,100.00%,0.00%,NA,
N0200,100.00%,100.00%,0.00%,NA,
N0201,100.00%,100.00%,0.00%,NA,
N0202,100.00%,100.00%,0.00%,NA,
N0203,100.00%,73.67%,40.87%,0.00%,
N0204,100.00%,77.27%,97.37%,0.00%,
N0239,100.00%,100.00%,0.00%,NA,
N0240,100.00%,73.62%,27.25%,0.00%,
N0241,100.00%,100.00%,100.00%,NA,
N0242,100.00%,100.00%,100.00%,NA,
N0243,66.67%,100.00%,100.00%,NA,
N0244,100.00%,80.71%,0.00%,0.00%,
N0245,100.00%,100.00%,92.85%,96.55%,
N0246,100.00%,100.00%,100.00%,NA,
N0247,100.00%,93.26%,40.22%,0.00%,
N0248,100.00%,100.00%,58.58%,NA,
N0249,100.00%,100.00%,71.39%,0.00%,
